codeDepartement,codeCollectivite,nomCollectivite,fbExonerationPartielleVlAnciensEconomesTaux,fbNouvelleExonPartielleVlAnciensLogEconomesTaux,codeInsee,population,taux
27,454,PERRUEL SUR ANDELLE,,80,27454,466,80
29,021,PLOUNEOUR-BRIGNOGAN PLAGES,,50,29021,1955,50
29,204,PLOUNEVENTER,,100,29204,2212,100
29,241,ROSPORDEN,,50,29241,7580,50
29,274,SCAER,,50,29274,5197,50
30,027,BAGARD,,50,30027,2595,50
31,247,LABARTHE RIVIERE,,100,31247,1287,100
31,254,LABEGE,,80,31254,4316,80
31,362,MONTBERAUD,,100,31362,195,100
32,120,ENCAUSSE,,100,32120,444,100
32,189,LANNEMAIGNAN,,100,32189,105,100
32,192,LANNUX,,50,32192,220,50
32,231,MARAMBAT,,50,32231,424,50
32,295,NIZAS,,50,32295,137,50
32,333,PROJAN,,50,32333,182,50
32,353,SABAILLAN,,75,32353,154,75
32,451,TOURNAN,,50,32451,178,50
33,122,CESTAS,,50,33122,16757,50
33,296,MOULIETS-ET-VILLEMARTIN,,100,33296,1022,100
33,321,PEUJARD,,100,33321,2191,100
33,548,VILLEGOUGE,,50,33548,1291,50
34,145,LUNEL,,50,34145,26380,50
35,072,CHATILLON EN VENDELAIS,,100,35072,1738,100
38,057,BRESSON,,50,38057,671,50
38,154,ENTRAIGUES,,50,38154,225,50
38,199,JARDIN,,50,38199,2156,50
38,226,MENS,,100,38226,1431,100
38,240,MOISSIEU SUR DOLON,,50,38240,721,50
40,065,CAPBRETON,,50,40065,9218,50
41,043,CHATILLON-SUR-CHER,,100,41043,1661,100
42,224,SAINT GENEST MALIFAUX,,50,42224,2912,50
42,260,ST MARTIN LA SAUVETE,,50,42260,870,50
44,026,CARQUEFOU,,50,44026,20535,50
45,228,NIBELLE,,50,45228,1176,50
45,234,ORLEANS,,50,45234,116344,50
46,153,LANZAC,,100,46153,571,100
46,183,MARCILHAC SUR CELE,,100,46183,183,100
46,204,MONTFAUCON,,100,46204,588,100
46,247,SAILLAC,,100,46247,148,100
46,271,SAINT JEAN-LESPINASSE,,100,46271,411,100
49,127,DURTAL,,100,49127,3376,100
49,237,LA PELLERINE,,100,49237,137,100
51,130,CHARMONT,,50,51130,236,50
52,074,BREUVANNES-EN-BASSIGNY,,100,52074,652,100
53,001,AHUILLE,,50,53001,1864,50
53,019,BANNES,,100,53019,119,100
53,042,BRECE,,50,53042,833,50
53,088,CUILLE,,70,53088,853,70
53,151,MERAL,,50,53151,1075,50
53,221,SAINT GEORGES SUR ERVE,,100,53221,394,100
53,249,VIMARTIN-SUR-ORTHE,,100,53249,1107,100
53,256,ST THOMAS DE COURCERIERS,,50,53256,162,50
53,270,VIEUVY,,50,53270,110,50
54,222,GERBEVILLER,,100,54222,1319,100
55,476,SAVONNIERES DEVANT BAR,,50,55476,451,50
55,584,WOIMBEY,,50,55584,130,50
56,139,MONTERTELOT,,50,56139,370,50
57,052,BARST,,50,57052,571,50
57,483,MORHANGE,,50,57483,3347,50
59,008,ANICHE,,100,59008,10001,100
59,016,ARMBOUTS CAPPEL,,50,59016,2097,50
59,093,BOULOGNE SUR HELPE,,100,59093,294,100
59,115,BRUNEMONT,,100,59115,711,100
59,160,CRESPIN,,50,59160,4541,50
59,176,DOIGNIES,,100,59176,323,100
59,188,ECUELIN,,100,59188,143,100
59,190,ELESMES,,100,59190,1002,100
59,198,EPPE SAUVAGE,,50,59198,229,50
59,208,ESCOBECQUES,,50,59208,303,50
59,255,FRESSIES,,50,59255,573,50
59,261,GLAGEON,,50,59261,1732,50
59,284,HASNON,,50,59284,3853,50
59,288,HAULCHIN,,50,59288,2307,50
59,337,LEDERZEELE,,50,59337,705,50
59,358,LOOBERGHE,,100,59358,1217,100
59,413,MONTIGNY EN CAMBRESIS,,50,59413,552,50
59,428,NEUVILLE SAINT REMY,,50,59428,3909,50
59,441,OBIES,,100,59441,655,100
59,451,ORSINVAL,,75,59451,560,75
59,472,PREUX AU BOIS,,50,59472,839,50
59,480,QUERENAING,,50,59480,863,50
59,495,RECQUIGNIES,,100,59495,2379,100
59,498,REUMONT,,100,59498,341,100
59,518,RUESNES,,100,59518,452,100
59,526,SAINT AMAND LES EAUX,,100,59526,16042,100
59,556,SASSEGNIES,,100,59556,258,100
59,562,SEMERIES,,100,59562,527,100
59,568,SERCUS,,50,59568,489,50
59,578,STEENBECQUE,,50,59578,1626,50
59,579,STEENE,,50,59579,1385,50
59,585,TEMPLEMARS,,50,59585,3630,50
59,590,THIENNES,,50,59590,918,50
59,623,VILLERS GUISLAIN,,50,59623,682,50
60,116,BURY,,100,60116,2876,100
60,242,FONTAINE LAVAGANNE,,100,60242,503,100
60,463,NOGENT SUR OISE,,50,60463,21859,50
62,041,ARRAS,,50,62041,42621,50
62,116,BERNIEULLES,,100,62116,165,100
62,473,ISBERGUES,,50,62473,8653,50
63,430,THIERS,,50,63430,11686,50
63,434,TOURS SUR MEYMONT,,50,63434,538,50
64,104,BEDOUS,,75,64104,574,75
64,150,BUNUS,,100,64150,134,100
64,364,MACAYE,,100,64364,594,100
64,421,OGEU LES BAINS,,50,64421,1274,50
65,197,GER,,50,65197,158,50
68,177,LAUTENBACH,,100,68177,1510,100
68,185,LIEPVRE,,75,68185,1647,75
68,224,MULHOUSE,,50,68224,104924,50
68,295,SAINTE-CROIX-EN-PLAINE,,50,68295,3026,50
68,302,SCHWEIGHOUSE-PRES-THANN,,50,68302,745,50
70,029,ARPENANS,,100,70029,242,100
70,257,FRETIGNEY ET VELLOREILLE,,50,70257,751,50
70,301,LIEFFRANS,,50,70301,51,50
70,527,VAUX LE MONCELOT,,100,70527,78,100
71,009,ANOST,,50,71009,704,50
72,002,AILLIERES BEAUVOIR,,75,72002,199,75
72,010,ASNIERES SUR VEGRE,,100,72010,337,100
72,013,AUBIGNE RACAN,,50,72013,2131,50
72,016,AUVERS LE HAMON,,100,72016,1458,100
72,060,LA CHAPELLE AUX CHOUX,,50,72060,282,50
72,098,COULONGE,,100,72098,512,100
72,156,LAMNAY,,50,72156,920,50
72,176,LE LUDE,,50,72176,4016,50
72,204,MONTAILLE,,100,72204,517,100
72,262,LOIR EN VALLEE,,50,72262,2052,50
72,269,SAINT CALAIS,,50,72269,2969,50
72,306,SAINT OUEN EN BELIN,,100,72306,1325,100
72,331,SCEAUX SUR HUISNE,,100,72331,584,100
72,352,TERREHAULT,,50,72352,143,50
72,382,VAL-DE-LA-HUNE,,50,72382,971,50
73,074,LA CHAPELLE,,50,73074,327,50
73,176,MONTVALEZAN,,50,73176,729,50
73,216,ROGNAIX,,50,73216,487,50
74,078,CLERMONT,,50,74078,449,50
74,171,MASSONGY,,50,74171,1693,50
74,175,MEILLERIE,,50,74175,301,50
74,239,SAINT-JEAN DE SIXT,,80,74239,1500,80
78,189,CRESPIERES,,50,78189,1717,50
78,389,MERE,,50,78389,1695,50
78,497,POIGNY-LA-FORET,,50,78497,930,50
78,672,VILLENNES-SUR-SEINE,,60,78672,5792,60
80,406,HALLENCOURT,,50,80406,1318,50
80,570,MOREUIL,,50,80570,3968,50
80,798,VILLERS-BOCAGE,,100,80798,1509,100
82,065,GASQUES,,100,82065,406,100
82,112,MOISSAC,,50,82112,13652,50
82,134,NEGREPELISSE,,50,82134,5839,50
82,171,SAINT PORQUIER,,70,82171,1340,70
85,070,COEX,,50,85070,3416,50
85,077,CURZON,,100,85077,492,100
85,084,ESSARTS EN BOCAGE,,50,85084,6835,50
85,114,JARD SUR MER,,50,85114,3046,50
85,149,MOREILLES,,50,85149,408,50
85,185,PUYRAVAULT,,50,85185,646,50
85,265,ST PIERRE LE VIEUX,,100,85265,924,100
85,278,ST VINCENT SUR JARD,,50,85278,1602,50
85,292,Rives-du-Fougerais,,80,85292,1504,80
87,089,MAGNAC-LAVAL,,50,87089,1693,50
87,117,PEYRAT-LE-CHATEAU,,50,87117,1028,50
88,001,LES ABLEUVENETTES,,100,88001,67,100
88,014,LES ARRENTES DE CORCIEUX,,50,88014,177,50
88,090,CHARMES,,50,88090,4489,50
88,426,ST MAURICE SUR MOSELLE,,50,88426,1364,50
90,004,ARGIESANS,,100,90004,595,100
90,035,DORANS,,50,90035,823,50
90,062,LARIVIERE,,100,90062,278,100
90,067,MENONCOURT,,50,90067,391,50
93,046,LIVRY GARGAN,,50,93046,46507,50
