CODE DEPARTEMENT,Code Collectivité,Nom de la collectivité,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Durée,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Taux,FB - Exonération partielle VL log. anciens économes en énergie (art. 1383 OB CGI) - Date,SIREN EPCI,Nom EPCI,population,code,taux
34,152,MAS DE LONDRES,3,100,06/09/21,200022986,CC du Grand Pic Saint-Loup,669,34152,100
54,504,SERROUVILLE,3,50,04/12/12,200070290,CC Coeur du Pays Haut,666,54504,50
27,125,CALLEVILLE,3,50,27/06/08,200066413,CC Intercom Bernay Terres de Normandie,661,27125,50
38,426,ST MAXIMIN,3,100,13/09/19,200018166,CC Le Grésivaudan,655,38426,100
79,161,LUZAY,3,50,22/01/08,247900798,CC du Thouarsais,629,79161,50
34,131,LAURET,3,50,29/09/21,200022986,CC du Grand Pic Saint-Loup,627,34131,50
46,262,LENDOU-EN-QUERCY,3,50,06/07/18,200039519,CC du Quercy Blanc,624,46262,50
68,137,HINDLINGEN,3,50,05/10/21,200066033,CC Sud Alsace Largue,615,68137,50
59,397,MERCKEGHEM,3,50,22/09/16,200040954,CC des Hauts de Flandre,614,59397,50
61,279,MIEUXCE,3,50,29/09/09,246100663,CU d'Alençon,613,61279,50
60,043,BAILLY,3,100,28/08/09,246000772,CC des Deux Vallées,609,60043,100
45,268,ST AIGNAN LE JAILLARD,3,50,30/06/17,200070100,CC du Val de Sully,608,45268,50
72,103,COURDEMANCHE,3,50,11/09/08,200070373,CC Loir-Lucé-Bercé,608,72103,50
36,207,SAINT-PLANTAIRE,3,50,14/09/12,200007052,CC de la Marche Berrichonne,603,36207,50
12,032,BOUSSAC,3,100,06/07/12,200068831,CC Pays Ségali Communauté,602,12032,100
77,179,FERICY,3,50,28/09/09,200070779,CC Brie des Rivières et Châteaux,600,77179,50
76,513,QUEVILLON,3,50,23/09/20,200023414,Métropole Rouen Normandie,590,76513,50
27,591,ST PIERRE DE CORMEILLES,3,50,22/09/08,200066017,CC Lieuvin Pays d'Auge,584,27591,50
10,239,MESNIL-SELLIERES,3,50,15/09/15,241000223,"CC Forêts, Lacs, Terres en Champagne",583,10239,50
62,704,RENTY,3,100,11/04/12,200069037,CA du Pays de Saint-Omer,581,62704,100
57,337,HOSTE,3,50,14/12/18,245700398,CC de Freyming-Merlebach,580,57337,50
95,298,HARAVILLIERS,3,50,17/10/17,200035970,CC Vexin Centre,577,95298,50
27,468,PONT AUTHOU,3,50,19/09/08,200065787,CC de Pont-Audemer / Val de Risle,576,27468,50
37,142,MAILLE,3,50,25/09/15,200072668,CC Touraine Val de Vienne,561,37142,50
79,134,GLENAY,3,50,13/09/16,247900798,CC du Thouarsais,555,79134,50
03,132,JALIGNY SUR BESBRE,3,100,14/09/23,200071470,CC Entr'Allier Besbre et Loire,551,03132,100
73,235,SAINT FRANCOIS LONGCHAMP,3,50,26/09/17,247300361,CC du Canton de La Chambre,544,73235,50
81,114,LABASTIDE GABAUSSE,3,50,29/07/13,200040905,CC Carmausin-Ségala,529,81114,50
73,039,BELMONT-TRAMONET,3,100,06/04/23,247300528,CC Val Guiers,515,73039,100
16,012,ANGEAC CHAMPAGNE,3,50,19/05/08,200070514,CA du Grand Cognac,498,16012,50
